C. albicans,S. cerevisiae,C. neoformans,A. niger,S. pombe,R. microsporus
108,94,121,161,121,191
123,120,101,148,97,242
111,139,110,99,120,269
103,186,85,143,81,221
120,104,136,125,112,248
74,200,113,138,95,221
90,110,112,91,106,252
90,196,129,96,87,223
108,226,131,117,113,176
104,192,107,156,127,216
110,136,88,114,84,259
123,206,147,127,82,225
131,187,129,160,230,210
124,161,122,110,78,235
102,136,140,111,92,194
129,128,111,106,85,270
111,138,159,157,71,205
152,233,113,111,88,241
131,163,112,87,93,236
115,160,122,107,61,220
113,125,109,132,112,198
92,155,114,130,97,230
118,132,122,141,55,227
89,116,100,158,95,227
123,146,129,133,128,183
72,125,119,112,80,229
88,148,169,73,96,225
148,139,110,131,121,227
149,116,98,146,59,227
145,163,95,138,114,212
73,165,129,141,124,196
81,36,126,107,119,236
82,134,94,141,76,201
76,136,140,78,107,206
120,133,76,86,93,228
104,191,94,77,119,269
115,146,106,148,113,242
104,127,116,144,89,254
97,114,95,144,95,221
162,167,154,173,82,222
129,81,147,93,90,240
92,131,121,134,91,236
143,120,121,116,96,235
100,128,117,108,92,239
109,131,119,148,83,221
148,98,138,116,96,228
97,98,140,97,88,229
109,141,131,147,95,268
108,111,109,114,83,227
155,197,79,123,116,231
161,156,74,149,114,248
120,101,123,118,113,248
159,162,81,117,79,248
84,134,103,137,99,187
111,152,147,171,90,226
145,202,127,83,96,223
109,178,120,172,103,224
123,108,121,154,108,236
120,162,135,139,83,249
131,127,135,143,114,237
121,182,93,94,115,216
81,142,87,137,114,222
106,82,95,156,86,190
98,11,115,130,99,206
128,117,174,85,96,260
75,112,122,118,85,229
96,113,119,89,83,192
142,226,144,93,95,221
123,147,141,97,80,234
171,176,98,148,75,237
114,107,61,168,92,199
53,168,184,122,95,217
138,122,107,156,109,262
119,83,103,111,120,300
107,131,148,115,77,229
84,141,90,160,100,199
111,102,107,185,105,210
129,197,78,160,80,210
123,145,141,59,90,223
117,84,97,115,97,252
129,50,118,132,92,272
119,172,137,132,107,180
91,173,111,100,121,225
122,167,176,199,125,237
127,108,112,73,93,223
159,109,73,125,90,222
116,165,136,100,111,222
91,127,138,116,92,265
142,143,139,125,95,240
132,169,96,106,107,214
102,186,101,129,82,274
87,114,112,79,118,251
151,137,138,97,91,198
76,153,110,134,101,201
100,120,148,89,86,231
122,180,135,135,100,240
91,104,130,108,83,200
111,161,92,92,68,260
126,127,64,125,86,240
106,192,117,105,103,251
