gene_name,glu1,glu2,glu6,glu7,glu11,glu12,gly1,gly2,gly6,gly7,gly11,gly12
aas,3.552876099,3.977270191,3.668374493,4.081675695,4.162732011,4.637575647,2.838199673,3.369365381,3.542781318,3.533896365,3.478994982,1.898039616
aat,2.869000612,2.937542598,3.859553062,2.77460641,3.408688896,3.41839379,1.845238606,1.909857469,2.940786701,2.464111871,0.400375956,2.231895253
abgA,2.700105232,1.069845507,-0.081165644,1.07954682,2.582578473,0.743193164,-1.14456266,1.593346297,0.950201861,0.261889892,2.096977156,2.231895253
abgB,1.50675362,0.04093922,1.239066079,0.124258233,2.110500387,0.993108595,0.639427359,1.181552541,1.335513986,1.142112545,1.887696574,0.804561649
abgR,3.450374263,2.741607747,2.816710004,2.312245118,3.079237974,1.84655887,2.838199673,3.089641103,2.829743201,2.885061637,2.717142687,3.389035879
abgT,2.287124403,1.909674822,1.06506632,1.07954682,2.293045961,1.202582163,1.481501414,0.915725688,0.950201861,1.863384156,1.341744444,-1.14456266
accA,7.181426773,7.818360007,7.471818208,8.230884848,7.609577994,8.102644627,6.432997182,6.592263481,6.828763038,6.702370682,6.612340105,6.224055203
accB,5.944260291,6.983586359,6.800217866,7.328563687,6.94143513,7.376723139,5.740276141,6.250466881,6.985368757,6.123627313,5.310126879,5.066434401
accC,7.911593803,8.527984467,8.545622424,8.737056653,8.499621772,8.317096964,7.467622451,8.121903862,9.174415683,8.461342564,8.02747498,7.746739058
accD,7.00311264,6.832315524,6.212759004,6.525177147,6.837024287,7.310073914,5.740276141,6.277755998,6.130066621,6.295760043,6.586891964,6.278545747
aceA,4.471922423,3.263708482,2.918707025,3.298080719,4.151060972,2.800514418,4.563383936,4.384327196,5.237798669,5.063960999,5.390780372,4.981370547
aceB,7.300204301,4.905364271,6.008995153,4.382031256,4.822632178,4.28839019,5.498854764,5.101612473,5.583029683,5.813513264,6.987782639,6.797007114
aceE,11.7862699,11.5554022,11.27203935,11.28084414,11.93339352,10.82038096,9.655507019,9.980908814,9.771778655,10.65982908,10.56602217,9.548829556
aceF,9.774197775,9.495558394,9.068553865,9.136585887,10.14324679,9.309657157,8.005689586,8.155392159,8.142359025,9.005153094,9.150428922,8.12434629
aceK,3.396246232,3.109874429,2.648628761,2.562090015,3.275092125,2.328850255,4.357887081,4.077573058,5.237798669,4.64835278,4.531955639,4.890972848
ackA,6.860739746,6.263187842,5.64393925,5.66913444,7.208765152,5.811757609,4.563383936,5.533879227,5.599986522,4.847963526,5.827365508,4.843556128
acnA,7.029975611,6.672470851,6.443344199,6.936682896,6.642492171,6.842804326,8.016655658,7.617900301,7.054654361,7.852332805,8.289150923,7.099038992
acnB,10.40322156,10.4852575,9.828812174,10.08924367,10.19039362,9.931734896,10.60579208,10.96460558,11.04543785,10.71515291,11.61599705,10.45736959
acpD,5.02862589,4.687514244,3.982067889,4.704589469,4.731565565,3.25926669,3.30810401,3.913148221,4.812423203,4.319084827,4.342119852,3.515622458
acpP,9.618456834,9.654336894,9.654318252,9.667012745,10.07245515,9.595530511,9.213155557,10.23913676,9.953440251,9.923953622,10.01022521,9.15636351
acpS,2.161956914,2.030199546,1.772119263,2.693353613,2.547210833,2.169695258,0.983904798,1.909857469,2.433038119,1.863384156,2.096977156,-1.14456266
acpT,2.024617477,2.66984026,2.524469212,2.77460641,2.762833939,3.190328614,1.675275111,2.741810914,2.577877013,1.863384156,2.440603361,0.804561649
acrA,7.371951213,7.130502146,6.780110506,7.30323295,7.13222723,6.947240994,6.806013547,6.717124897,6.346465109,6.337840219,6.516750309,5.960787357
acrB,8.305258958,8.163716985,8.31933962,8.424218967,8.353976653,7.723566128,7.59892231,7.662578831,7.940838137,7.931413409,8.011623946,7.138856434
acrD,2.607531025,2.594274625,3.227503291,3.060098585,2.823126441,2.974838507,1.845238606,1.402984775,2.433038119,2.885061637,1.641516703,2.231895253
acrE,0.169307087,-1.14456266,-1.14456266,-1.14456266,-0.165749464,-0.563826259,-1.14456266,-1.14456266,-1.14456266,-1.14456266,0.400375956,-1.14456266
acrF,1.005901477,1.909674822,1.656951679,1.429612449,2.15839243,2.095594769,1.996751073,2.574940804,1.880704813,1.863384156,0.955758142,1.458599818
acrR,1.005901477,1.909674822,2.918707025,2.515506793,1.021243697,3.314290528,1.996751073,0.57980147,-1.14456266,2.195417295,0.955758142,2.501831767
acs,5.774610513,4.613275881,4.555755506,4.23252161,2.990117586,3.552529446,8.306637733,8.114355261,7.793851748,7.019216126,8.696551872,7.35711871
actP,2.869000612,1.632120246,0.328725926,0.780805482,1.872213685,1.84655887,5.93782416,5.621697844,5.832977856,4.140297819,6.07931016,5.259434137
ada,1.872409522,0.813307996,1.239066079,1.939368689,1.68735496,1.340552926,1.255666409,0.10884003,1.880704813,1.142112545,1.341744444,1.898039616
add,5.288035752,4.430786254,4.406287667,3.638246641,5.050079403,2.784981838,2.577489015,4.077573058,3.676850297,3.798131235,4.458993237,4.459142826
ade,2.946518091,1.632120246,2.315226014,1.789321157,1.719920157,1.84655887,1.845238606,2.044750511,1.335513986,1.42689579,2.948738551,2.728660382
